"date","Influenza cases overall","Influenza A cases not subtyped","Influenza A H1 cases","Influenza A H3 cases","Influenza B cases","Influenza cases 0-4","Influenza cases 5-17","Influenza cases 18-64","Influenza cases 65+","Influenza cases Bronx","Influenza cases Brooklyn","Influenza cases Manhattan","Influenza cases Queens","Influenza cases Staten Island"
"11/15/2025","2476","1886","32","474","58","426","1095","807","148","347","840","355","818","116"
"11/22/2025","5379","4126","41","1080","72","864","2600","1633","282","979","1743","630","1726","301"
"11/29/2025","10638","8319","46","2082","86","1826","5119","3105","585","2022","3370","1158","3397","691"
"12/06/2025","14227","10768","60","3117","161","2655","5653","4921","994","2948","4647","1474","4222","936"
"12/13/2025","26095","21105","94","4466","189","4211","11668","8516","1700","6187","7723","3276","7195","1714"
"12/20/2025","32748","26531","140","5628","209","5283","13254","11569","2640","7835","8757","4598","9124","2434"
"12/27/2025","20314","16094","109","3724","224","3904","5135","8570","2703","4285","5810","2770","6025","1424"
"01/03/2026","12949","10403","101","2088","297","2210","1674","6677","2386","2424","3646","2056","3868","955"
"01/10/2026","8218","6453","102","1283","336","1162","1058","4569","1428","1449","2351","1554","2366","498"
"01/17/2026","3928","2928","63","611","299","713","780","1793","641","678","1153","731","1118","248"
"01/24/2026","2226","1468","48","289","405","365","497","996","368","447","659","431","541","148"
"01/31/2026","1425","766","28","141","479","204","351","674","196","271","377","343","355","79"
